#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Crybb3	Crybb2	10090.ENSMUSP00000112618	10090.ENSMUSP00000107955	0	0	0.060	0.954	0.270	0.092	0	0.394	0.572
Crybb3	Cryab	10090.ENSMUSP00000112618	10090.ENSMUSP00000149803	0	0	0	0	0.069	0	0	0.731	0.738
Crygb	Cryaa	10090.ENSMUSP00000027090	10090.ENSMUSP00000019192	0	0	0	0	0.568	0.099	0	0.744	0.891
Crygb	Crybb1	10090.ENSMUSP00000027090	10090.ENSMUSP00000031286	0	0	0.082	0.832	0.294	0	0	0.185	0.426
Crygb	Crybb2	10090.ENSMUSP00000027090	10090.ENSMUSP00000107955	0	0	0.073	0.868	0.580	0.103	0	0.164	0.670
Crygb	Cryab	10090.ENSMUSP00000027090	10090.ENSMUSP00000149803	0	0	0	0	0.054	0.207	0	0.608	0.680
Crygb	Cryba1	10090.ENSMUSP00000027090	10090.ENSMUSP00000077693	0	0	0.089	0.835	0.612	0	0	0.257	0.714
Crygb	Crygc	10090.ENSMUSP00000027090	10090.ENSMUSP00000109698	0	0	0.051	0.979	0.694	0	0	0.116	0.721
Crygc	Cryaa	10090.ENSMUSP00000109698	10090.ENSMUSP00000019192	0	0	0	0	0.556	0	0	0.785	0.900
Crygc	Crygb	10090.ENSMUSP00000109698	10090.ENSMUSP00000027090	0	0	0.051	0.979	0.694	0	0	0.116	0.721
Crygc	Crybb1	10090.ENSMUSP00000109698	10090.ENSMUSP00000031286	0	0	0.094	0.832	0.289	0	0	0.168	0.417
Crygc	Cryba1	10090.ENSMUSP00000109698	10090.ENSMUSP00000077693	0	0	0.102	0.807	0.619	0	0	0.187	0.697
Crygc	Crybb2	10090.ENSMUSP00000109698	10090.ENSMUSP00000107955	0	0	0.083	0.860	0.582	0	0	0.151	0.647
Crygc	Cryab	10090.ENSMUSP00000109698	10090.ENSMUSP00000149803	0	0	0	0	0.050	0	0	0.652	0.655
Serpina1a	C3	10090.ENSMUSP00000072652	10090.ENSMUSP00000024988	0	0	0	0	0.203	0	0	0.575	0.647
Serpina1a	Trf	10090.ENSMUSP00000072652	10090.ENSMUSP00000035158	0	0	0	0	0.145	0.064	0	0.645	0.691
Serpina1a	Serpina3k	10090.ENSMUSP00000072652	10090.ENSMUSP00000042095	0	0	0.090	0.900	0.349	0	0	0.088	0.413
Serpina1a	Ttr	10090.ENSMUSP00000072652	10090.ENSMUSP00000074783	0	0	0	0	0.254	0	0	0.718	0.780
Serpina3k	Serpina1a	10090.ENSMUSP00000042095	10090.ENSMUSP00000072652	0	0	0.090	0.900	0.349	0	0	0.088	0.413
Trf	C3	10090.ENSMUSP00000035158	10090.ENSMUSP00000024988	0	0	0	0	0.300	0.051	0	0.514	0.649
Trf	Serpina1a	10090.ENSMUSP00000035158	10090.ENSMUSP00000072652	0	0	0	0	0.145	0.064	0	0.645	0.691
Trf	Ttr	10090.ENSMUSP00000035158	10090.ENSMUSP00000074783	0	0	0	0	0.197	0	0	0.755	0.795
Ttr	C3	10090.ENSMUSP00000074783	10090.ENSMUSP00000024988	0	0	0	0	0.097	0	0	0.527	0.555
Ttr	Trf	10090.ENSMUSP00000074783	10090.ENSMUSP00000035158	0	0	0	0	0.197	0	0	0.755	0.795
Ttr	Serpina1a	10090.ENSMUSP00000074783	10090.ENSMUSP00000072652	0	0	0	0	0.254	0	0	0.718	0.780
