#node	identifier	domain_summary_url	annotation	other_names_and_aliases
Frrs1	10090.ENSMUSP00000143255	Ferric-chelate reductase 1; Ferric-chelate reductases reduce Fe(3+) to Fe(2+) before its transport from the endosome to the cytoplasm.	https://smart.embl.de/smart/DDvec.cgi?smart=592:SIGNAL(1|22)+Pfam_Reeler(32|155)+DoH(242|331)+B561(372|501)+TRANS(514|536)+TRANS(570|589)+	1.-.-.-,20321,A0A0G2JEJ3,A0A0G2JFP4,A0A0G2JGF6,AC170869,AC174779,AI131732,CCDS17792.1,ENSMUSG00000033386,ENSMUSP00000039487,ENSMUSP00000142793,ENSMUSP00000143255,ENSMUSP00000143546,ENSMUST00000040260,ENSMUST00000040260.10,ENSMUST00000195905,ENSMUST00000195905.4,ENSMUST00000197323,ENSMUST00000197323.1,ENSMUST00000199030,ENSMUST00000199030.1,ENSMUST00000199584,ENSMUST00000199584.4,ENSMUST00000199626,ENSMUST00000199626.1,FRRS1,FRRS1_MOUSE,Ferric-chelate reductase 1,Frrs1,Frrs1-201,Frrs1-202,Frrs1-203,Frrs1-204,Frrs1-205,Frrs1-206,MGI:108076,NM_001113478,NM_001113478.1,NM_009146,NM_009146.3,NP_001106950,NP_001106950.1,NP_033172,NP_033172.2,P97301,Q3TJV0,Q3UMF5,Q8K385,SDR-2,Sdfr2,Sdr2,Stromal cell-derived receptor 2,UPI0000024DA4,UPI000620A9B4,UPI000620A9D9,XM_006501185,XM_006501185.3,XM_017319511,XM_017319511.1,XP_006501248,XP_006501248.1,XP_017175000,XP_017175000.1,XR_001783669,XR_001783669.1,mmu:20321,uc008rcv.2
Galnt11	10090.ENSMUSP00000036240	Polypeptide N-acetylgalactosaminyltransferase 11; Polypeptide N-acetylgalactosaminyltransferase that catalyzes the initiation of protein O-linked glycosylation and is involved in left/right asymmetry by mediating O-glycosylation of NOTCH1. O- glycosylation of NOTCH1 promotes activation of NOTCH1, modulating the balance between motile and immotile (sensory) cilia at the left-right organiser (LRO). Polypeptide N-acetylgalactosaminyltransferases catalyze the transfer of an N-acetyl-D-galactosamine residue to a serine or threonine residue on the protein receptor. Displays the same enzyme a [...] 	https://smart.embl.de/smart/DDvec.cgi?smart=608:TRANS(7|29)+Pfam_Glycos_transf_2(154|337)+RICIN(476|607)+	2.4.1.41,231050,A430075I06Rik,AAH11428.1,AAH21504.1,AAH34184.1,AAH34185.1,AAH36143.1,AAH36145.1,AAQ06668.1,AC127319,AF495528,AI648252,AK088014,AK161524,BAC40096.1,BAE36442.1,BC011428,BC021504,BC034184,BC034185,BC036143,BC036145,CAC79626.1,CCDS19133.1,D3YUC2,E430002F06Rik,EC 2.4.1.41,ENSMUSG00000038072,ENSMUSP00000036240,ENSMUSP00000110600,ENSMUSP00000110602,ENSMUSP00000115282,ENSMUST00000045737,ENSMUST00000045737.13,ENSMUST00000114950,ENSMUST00000114950.1,ENSMUST00000114952,ENSMUST00000114952.7,ENSMUST00000144971,ENSMUST00000144971.1,ENSMUST00000196213,ENSMUST00000196213.1,GLT11_MOUSE,GalNAc-T11,Galnt11,Galnt11-201,Galnt11-202,Galnt11-203,Galnt11-204,Galnt11-205,MGI:2444392,NM_001359890,NM_001359890.1,NM_144908,NM_144908.3,NP_659157,NP_659157.1,Polypeptide GalNAc transferase 11,Polypeptide N-acetylgalactosaminyltransferase,Polypeptide N-acetylgalactosaminyltransferase 11,Protein-UDP acetylgalactosaminyltransferase 11,Q3TT83,Q8BU26,Q8K032,Q921L8,R-MMU-392499,R-MMU-5173105,R-MMU-597592,R-MMU-913709,UPI00000261A7,UPI0003F484CF,XM_006535681,XM_006535681.3,XM_011249764,XM_011249764.2,XP_006535744,XP_006535744.1,XP_011248066,XP_011248066.1,Y12435,mmu:231050,pp-GaNTase 11,uc008wss.1
Ganab	10090.ENSMUSP00000093965	Neutral alpha-glucosidase AB; Catalytic subunit of glucosidase II that cleaves sequentially the 2 innermost alpha-1,3-linked glucose residues from the Glc(2)Man(9)GlcNAc(2) oligosaccharide precursor of immature glycoproteins. Required for PKD1/Polycystin-1 and PKD2/Polycystin-2 maturation and localization to the cell surface and cilia.	https://smart.embl.de/smart/DDvec.cgi?smart=966:SIGNAL(1|32)+Pfam_Gal_mutarotas_2(275|346)+Pfam_Glyco_hydro_31(387|832)+	14376,3.2.1.207,5F0E,5H9O,5HJO,5HJR,5IED,5IEE,5IEF,5IEG,A1A4T2,AAC53182.1,AAH94437.1,AAI17889.1,AAI17890.1,AAI28070.1,AK017873,AK030722,AK081915,AK122201,AU042638,Alpha glucosidase 2 alpha neutral subunit,Alpha-glucosidase 2,BAB30982.1,BAC27099.1,BAC38370.1,BAC65483.1,BC094437,BC117888,BC117889,BC128069,CCDS29557.1,CH466612,EC 3.2.1.207,EDL33399.1,ENSMUSG00000071650,ENSMUSP00000093965,ENSMUSP00000093966,ENSMUSP00000158122,ENSMUST00000096246,ENSMUST00000096246.3,ENSMUST00000096247,ENSMUST00000235274,ENSMUST00000235704,ENSMUST00000236499,ENSMUST00000236563,ENSMUST00000238063,G2an,GANAB_MOUSE,Ganab,Ganab-201,Ganab-202,Ganab-203,Ganab-204,Ganab-205,Ganab-206,GluII,Glucosidase II subunit alpha,Kiaa0088,MGI:1097667,Mannosyl-oligosaccharide alpha-1,3-glucosidase,NM_001293621,NM_001293621.1,NM_008060,NM_008060.2,NP_001280550,NP_001280550.1,NP_032086,NP_032086.1,Neutral alpha-glucosidase AB,O08794,Q149A6,Q80U81,Q8BHN3,Q9CS53,U92793,UPI0000020D79,UPI00000EB8FB,XM_006526677,XM_006526677.2,XM_006526678,XM_006526678.2,XP_006526740,XP_006526740.1,XP_006526741,XP_006526741.1,mKIAA0088,mmu:14376,uc008gnx.2
Gfap	10090.ENSMUSP00000064691	Glial fibrillary acidic protein; GFAP, a class-III intermediate filament, is a cell-specific marker that, during the development of the central nervous system, distinguishes astrocytes from other glial cells.	https://smart.embl.de/smart/DDvec.cgi?smart=430:Pfam_Filament_head(2|64)+Filament(65|373)+	14580,A1E2H7,A2AH87,AAA37678.1,AAA37679.1,AAI00729.1,AAI00738.1,AAI01969.1,AAI03572.1,AAI39358.1,AAI39359.1,AAK56090.1,AAK56091.1,AAN87913.1,AAP33501.1,ABI54133.1,ABK96803.1,AF332061,AF332062,AI836096,AK140151,AL731670,AY142200,AY279974,B2RTI7,BAE24257.1,BC100728,BC100737,BC101968,BC103571,BC139357,BC139358,CAA26571.1,CAA55020.1,CCDS25507.1,CCDS48950.1,DQ887822,EF101554,ENSMUSG00000020932,ENSMUSP00000064691,ENSMUSP00000077061,ENSMUSP00000091460,ENSMUST00000067444,ENSMUST00000067444.9,ENSMUST00000077902,ENSMUST00000077902.4,ENSMUST00000093929,ENSMUST00000127909,ENSMUST00000127909.1,GFAP,GFAP_MOUSE,Gfap,Gfap-201,Gfap-202,Gfap-203,Glial fibrillary acidic protein,K01347,M25937,MGI:95697,NM_001131020,NM_001131020.1,NM_010277,NM_010277.3,NP_001124492,NP_001124492.1,NP_034407,NP_034407.2,P03995,Q09J71,Q3USS4,Q496R4,Q496S3,Q7TQ30,Q80VX6,Q925K2,Q925K3,R-MMU-9612973,R-MMU-9613829,UPI0000192B9B,UPI0000D8B66C,X02801,X78141,XR_388347,XR_388347.3,mmu:14580,uc007lsw.2,uc007lsx.2
Gm12886	10090.ENSMUSP00000101873	Predicted gene 12886.	https://smart.embl.de/smart/DDvec.cgi?smart=119:SIGNAL(1|21)+	666921,B1AZM5,B1AZM5_MOUSE,BX001020,CCDS51295.1,ENSMUSG00000078576,ENSMUSP00000101873,ENSMUST00000106266,ENSMUST00000106266.1,Gm12886,Gm12886-201,MGI:3651888,NM_001144948,NM_001144948.1,NP_001138420,NP_001138420.1,Predicted gene 12886,UPI000059E0C9,mmu:666921,uc012dkp.1
Gm40193	10090.ENSMUSP00000148188	Predicted gene, 40193.	http://smart.embl.de/smart/DDvec.cgi?smart=78:	105244603,A0A1B0GT39,A0A1B0GT39_MOUSE,AL592547,ENSMUSG00000109833,ENSMUSP00000148188,ENSMUST00000209971,ENSMUST00000209971.1,Gm40193,Gm40193-201,Gm45573,MGI:5623078,NP_001371184,Predicted gene, 40193,UPI0007E52E6A,mmu:105244603
Gm8978	10090.ENSMUSP00000158516	Lipase; Belongs to the AB hydrolase superfamily. Lipase family.	https://smart.embl.de/smart/DDvec.cgi?smart=399:Pfam_Hydrolase_4(72|235)+	668106,A0A494BBH0,A0A494BBH0_MOUSE,AC122846,EG668106,ENSMUSG00000086812,ENSMUSP00000158516,ENSMUST00000124230,Gm8978,Gm8978-201,Lipase,MGI:3647649,NM_001323251,NM_001323251.2,NP_001310180,NP_001310180.1,Predicted gene 8978,UPI0000608095,mmu:668106
H1f2	10090.ENSMUSP00000045816	Histone H1.2; Histone H1 protein binds to linker DNA between nucleosomes forming the macromolecular structure known as the chromatin fiber. Histones H1 are necessary for the condensation of nucleosome chains into higher-order structured fibers. Acts also as a regulator of individual gene transcription through chromatin remodeling, nucleosome spacing and DNA methylation (By similarity).	https://smart.embl.de/smart/DDvec.cgi?smart=212:H15(34|99)+	0610008C09Rik,50708,AAA37807.1,AAA37808.1,AAH89604.1,AAO06216.1,AK155502,AY158905,BAE33296.1,BC089604,CAA72970.1,CCDS26361.1,CH466561,EDL32541.1,ENSMUSG00000036181,ENSMUSP00000045816,ENSMUST00000040914,ENSMUST00000040914.2,H1 VAR.1,H1-2,H1.2,H1.2 linker histone, cluster member,H12_MOUSE,H1c,H1f2,H1f2-201,H1var1,His1a,Hist1h1c,Histone H1.2,Histone H1/5,J03482,M25365,MGI:1931526,NM_015786,NM_015786.3,NP_056601,NP_056601.1,P15864,Q5SZA3,R-MMU-109581,R-MMU-140342,R-MMU-2262752,R-MMU-2559583,R-MMU-2559584,R-MMU-2559586,R-MMU-5357801,R-MMU-75153,R-MMU-8953897,UPI0000005310,Y12291,mmu:50708,uc007puq.3
Hsp90ab1	10090.ENSMUSP00000024739	Heat shock protein HSP 90-beta; Molecular chaperone that promotes the maturation, structural maintenance and proper regulation of specific target proteins involved for instance in cell cycle control and signal transduction. Undergoes a functional cycle that is linked to its ATPase activity. This cycle probably induces conformational changes in the client proteins, thereby causing their activation. Interacts dynamically with various co- chaperones that modulate its substrate recognition, ATPase cycle and chaperone function. Engages with a range of client protein classes via its interact [...] 	https://smart.embl.de/smart/DDvec.cgi?smart=724:HATPase_c(35|189)+Pfam_HSP90(191|713)+	15516,90kDa,AAA37865.1,AAA37866.1,AAB23704.1,AAC36532.1,AAH88985.1,AAQ04842.1,AC163677,AF465639,AK135366,AK146205,AK146809,AL022974,BAE22506.1,BAE26978.1,BAE27449.1,BC088985,C81438,CCDS28812.1,CH466559,D3Z1R1,E9PX27,E9Q0C3,E9Q3D6,EDL23450.1,ENSMUSG00000023944,ENSMUSP00000024739,ENSMUSP00000119678,ENSMUSP00000126239,ENSMUSP00000127338,ENSMUSP00000131601,ENSMUST00000024739,ENSMUST00000024739.13,ENSMUST00000130406,ENSMUST00000130406.1,ENSMUST00000145205,ENSMUST00000145205.1,ENSMUST00000146770,ENSMUST00000146770.7,ENSMUST00000151306,ENSMUST00000151306.1,ENSMUST00000163966,ENSMUST00000163966.7,ENSMUST00000165127,ENSMUST00000165127.7,ENSMUST00000166469,ENSMUST00000166469.7,HS90B_MOUSE,HSP 84,HSP84,Heat shock 84 kDa,Heat shock protein HSP 90-beta,Hsp84,Hsp84-1,Hsp90,Hsp90ab1,Hsp90ab1-201,Hsp90ab1-202,Hsp90ab1-203,Hsp90ab1-204,Hsp90ab1-205,Hsp90ab1-206,Hsp90ab1-207,Hsp90ab1-208,Hspcb,M18186,M36829,MGI:96247,Molecular chaperone HtpG,NM_008302,NM_008302.3,NP_032328,NP_032328.2,O89078,P11499,Q3UIQ7,Q71LX8,R-MMU-1266738,R-MMU-1430728,R-MMU-162582,R-MMU-1640170,R-MMU-168249,R-MMU-168256,R-MMU-168643,R-MMU-2029480,R-MMU-2029482,R-MMU-211859,R-MMU-211945,R-MMU-2262752,R-MMU-3371497,R-MMU-3371511,R-MMU-3371556,R-MMU-3371568,R-MMU-3371571,R-MMU-373755,R-MMU-399954,R-MMU-422475,R-MMU-453274,R-MMU-622312,R-MMU-6798695,R-MMU-69275,R-MMU-69278,R-MMU-844456,R-MMU-8852276,R-MMU-8937144,R-MMU-8939211,R-MMU-8953897,R-MMU-9006931,R-MMU-9018519,R-MMU-9612973,R-MMU-9613829,S46109,TSTA,Tumor-specific transplantation 84 kDa antigen,U89426,UPI00000221CE,UPI0000484EF4,UPI0000F221DF,UPI0001889C3F,UPI0001F79023,mmu:15516,uc008cqz.1
Hspa8	10090.ENSMUSP00000015800	Heat shock cognate 71 kDa protein; Molecular chaperone implicated in a wide variety of cellular processes, including protection of the proteome from stress, folding and transport of newly synthesized polypeptides, activation of proteolysis of misfolded proteins and the formation and dissociation of protein complexes. Plays a pivotal role in the protein quality control system, ensuring the correct folding of proteins, the re-folding of misfolded proteins and controlling the targeting of proteins for subsequent degradation. This is achieved through cycles of ATP binding, ATP hydrolysis a [...] 	https://smart.embl.de/smart/DDvec.cgi?smart=646:Pfam_MreB_Mbl(117|383)+	15481,2410008N15Rik,3CQX,AAA37869.1,AAB18391.1,AAC52836.1,AAH06722.1,AAH66191.1,AAH85486.1,AAH89322.1,AAH89457.1,AAH94900.1,AAI06194.1,AC158355,AK035286,AK075935,AK145579,AK146708,AK146985,AK147864,AK150474,AK150498,AK150701,AK150958,AK151065,AK151127,AK151287,AK151435,AK151516,AK151537,AK151775,AK151808,AK151865,AK151892,AK151948,AK151997,AK152598,AK152697,AK152703,AK152803,AK153032,AK153834,AK159479,AK164000,AK166643,AK166721,AK166767,AK166776,AK166808,AK166830,AK166846,AK166861,AK166873,AK166908,AK166910,AK166913,AK166933,AK167043,AK167121,AK167122,AK167134,AK167163,AK167218,AK167229,AK167845,AK167910,AK168492,AK168519,AK168542,AK168711,AK168750,AK168776,AK168887,AK168934,AK169093,AK169179,AK169236,AK169293,BAC29016.1,BAC36065.1,BAE26523.1,BAE27374.1,BAE27588.1,BAE28187.1,BAE29591.1,BAE29612.1,BAE29780.1,BAE29990.1,BAE30081.1,BAE30135.1,BAE30272.1,BAE30398.1,BAE30465.1,BAE30484.1,BAE30681.1,BAE30707.1,BAE30753.1,BAE30776.1,BAE30822.1,BAE30861.1,BAE31346.1,BAE31427.1,BAE31432.1,BAE31508.1,BAE31664.1,BAE32204.1,BAE35116.1,BAE37581.1,BAE38912.1,BAE38970.1,BAE39005.1,BAE39012.1,BAE39036.1,BAE39053.1,BAE39065.1,BAE39076.1,BAE39084.1,BAE39109.1,BAE39111.1,BAE39113.1,BAE39127.1,BAE39211.1,BAE39269.1,BAE39270.1,BAE39280.1,BAE39304.1,BAE39344.1,BAE39353.1,BAE39865.1,BAE39917.1,BAE40379.1,BAE40398.1,BAE40419.1,BAE40553.1,BAE40590.1,BAE40612.1,BAE40704.1,BAE40745.1,BAE40876.1,BAE40957.1,BAE41004.1,BAE41049.1,BC006722,BC066191,BC085486,BC089322,BC089457,BC094900,BC106193,CAA38267.1,CAA38268.1,CAA38269.1,CCDS23083.1,D3Z5E2,ENSMUSG00000015656,ENSMUSP00000015800,ENSMUSP00000113722,ENSMUSP00000114081,ENSMUSP00000117285,ENSMUST00000015800,ENSMUST00000015800.15,ENSMUST00000117557,ENSMUST00000117557.7,ENSMUST00000117870,ENSMUST00000117870.8,ENSMUST00000127699,ENSMUST00000127699.1,ENSMUST00000133964,ENSMUST00000133964.1,ENSMUST00000138895,ENSMUST00000138895.1,ENSMUST00000140984,ENSMUST00000140984.1,ENSMUST00000149936,ENSMUST00000149936.1,ENSMUST00000153847,ENSMUST00000153847.1,ENSMUST00000215526,ENSMUST00000215526.1,HSP7C_MOUSE,Heat shock 70 kDa protein 8,Heat shock 70kDa protein 1/2/6/8,Heat shock cognate 71 kDa protein,Heat shock protein 8,Hsc70,Hsc71,Hsc73,Hsp73,Hspa10,Hspa8,Hspa8-201,Hspa8-202,Hspa8-203,Hspa8-204,Hspa8-205,Hspa8-206,Hspa8-207,Hspa8-208,Hspa8-209,Hspa8-210,M19141,MGI:105384,NM_001364480,NM_001364480.1,NM_031165,NM_031165.4,NP_112442,NP_112442.2,P08109,P12225,P63017,Q3U6R0,Q3U764,Q3U7D7,Q3U7E2,Q3U9B4,Q3U9G0,Q3UGM0,Q504P4,Q5FWJ6,Q62373,Q62374,Q62375,Q6NZD0,R-MMU-112310,R-MMU-112315,R-MMU-112316,R-MMU-1632852,R-MMU-168249,R-MMU-168256,R-MMU-199991,R-MMU-199992,R-MMU-2262752,R-MMU-3371453,R-MMU-3371497,R-MMU-3371556,R-MMU-3371568,R-MMU-3371571,R-MMU-392499,R-MMU-432720,R-MMU-432722,R-MMU-450408,R-MMU-450531,R-MMU-5653656,R-MMU-597592,R-MMU-6798695,R-MMU-72163,R-MMU-72172,R-MMU-72203,R-MMU-8856828,R-MMU-8876725,R-MMU-888590,R-MMU-8953854,R-MMU-8953897,R-MMU-9612973,R-MMU-9613354,R-MMU-9613829,R-MMU-9615710,U27129,U73744,UPI00000018A6,UPI000050CD65,UPI000164C381,X54401,X54402,X54403,mmu:15481,uc009ozx.3
Jup	10090.ENSMUSP00000001592	Junction plakoglobin; Common junctional plaque protein. The membrane-associated plaques are architectural elements in an important strategic position to influence the arrangement and function of both the cytoskeleton and the cells within the tissue. The presence of plakoglobin in both the desmosomes and in the intermediate junctions suggests that it plays a central role in the structure and function of submembranous plaques. Acts as a substrate for VE-PTP and is required by it to stimulate VE- cadherin function in endothelial cells. Can replace beta-catenin in E- cadherin/catenin adhes [...] 	https://smart.embl.de/smart/DDvec.cgi?smart=745:ARM(132|171)+ARM(172|214)+ARM(215|255)+ARM(256|297)+ARM(299|340)+ARM(341|381)+ARM(382|420)+ARM(422|464)+ARM(469|510)+ARM(511|572)+ARM(573|613)+ARM(614|654)+	16480,AAB02885.1,AAH40757.1,AAH94461.1,AK170934,BAE42126.1,BC040757,BC094461,CCDS25420.1,Ctnng,D930025P04Rik,Desmoplakin III,Desmoplakin-3,ENSMUSG00000001552,ENSMUSP00000001592,ENSMUSP00000103026,ENSMUST00000001592,ENSMUST00000001592.14,ENSMUST00000107403,ENSMUST00000107403.1,ENSMUST00000123903,ENSMUST00000123903.1,ENSMUST00000124659,ENSMUST00000124659.1,ENSMUST00000128268,ENSMUST00000128268.7,ENSMUST00000149798,ENSMUST00000149798.1,ENSMUST00000151476,ENSMUST00000151476.1,ENSMUST00000152774,ENSMUST00000152774.1,ENSMUST00000155746,ENSMUST00000155746.7,Junction plakoglobin,Jup,Jup-201,Jup-202,Jup-203,Jup-204,Jup-205,Jup-206,Jup-207,Jup-208,Jup-209,M90365,MGI:96650,NM_010593,NM_010593.2,NP_034723,NP_034723.1,PG,PLAK_MOUSE,Q02257,Q8CGD3,R-MMU-1266738,R-MMU-1500931,R-MMU-162582,R-MMU-168249,R-MMU-168256,R-MMU-194138,R-MMU-418990,R-MMU-421270,R-MMU-4420097,R-MMU-446728,R-MMU-5218920,R-MMU-6798695,R-MMU-6805567,R-MMU-6809371,R-MMU-9006934,UPI00000E8ED7,XM_006532315,XM_006532315.3,XM_006532316,XM_006532316.1,XM_030245605,XM_030245605.1,XP_006532378,XP_006532378.1,XP_006532379,XP_006532379.1,XP_030101465,XP_030101465.1,gamma-catenin,mmu:16480,plakoglobin,uc007lkz.2
Krt15	10090.ENSMUSP00000103034	Keratin, type I cytoskeletal 15; In the absence of KRT14, makes a bona fide, but ultrastructurally distinct keratin filament network with KRT5. Belongs to the intermediate filament family.	https://smart.embl.de/smart/DDvec.cgi?smart=456:Filament(97|409)+	16665,AI528832,AL590873,B1AQ77,CCDS25410.2,CH466662,CK-15,Cytokeratin-15,EDL02576.1,ENSMUSG00000054146,ENSMUSP00000007273,ENSMUSP00000103034,ENSMUST00000007273,ENSMUST00000107411,ENSMUST00000107411.2,ENSMUST00000148502,ENSMUST00000148502.1,K15,K1C15_MOUSE,Keratin 15,Keratin, type I cytoskeletal 15,Keratin-15,Krt1-15,Krt15,Krt15-201,Krt15-202,MGI:96689,NM_008469,NM_008469.2,NP_032495,NP_032495.2,Q61414,Q6PEQ0,R-MMU-1266738,R-MMU-6805567,R-MMU-6809371,Type I keratin, acidic,UPI0000020FFA,mmu:16665
Krt4	10090.ENSMUSP00000023797	Keratin, type II cytoskeletal 4.	https://smart.embl.de/smart/DDvec.cgi?smart=525:Pfam_Keratin_2_head(14|142)+Filament(145|458)+	16682,A6H6D6,AAH64008.1,AAI45840.1,AAI45842.1,AW108092,BC064008,BC145839,BC145841,CAA27207.1,CCDS37222.1,CK-4,Cytokeratin-4,Cytoskeletal 57 kDa keratin,ENSMUSG00000059668,ENSMUSP00000023797,ENSMUST00000023797,ENSMUST00000023797.7,K2C4_MOUSE,K4,Keratin 4,Keratin, type II cytoskeletal 4,Keratin-4,Krt-2.4,Krt2-4,Krt4,Krt4-201,MGI:96701,NM_008475,NM_008475.2,NP_032501,NP_032501.2,P07744,Q6P3F5,R-MMU-1266738,R-MMU-6805567,R-MMU-6809371,Type II keratin, basic,Type-II keratin Kb4,UPI0000195597,X03491,mmu:16682,uc007xuf.1
Krt40	10090.ENSMUSP00000073869	Keratin, type I cytoskeletal 40; May play a role in late hair differentiation.	https://smart.embl.de/smart/DDvec.cgi?smart=439:Filament(88|399)+	406221,A0AUL0,AAI07360.1,AAI07361.1,AAI19523.1,AL591417,BC107359,BC107360,BC119522,BK004023,CCDS36307.1,CCDS83897.1,CK-40,Cytokeratin-40,DAA04490.1,E9PV64,ENSMUSG00000059169,ENSMUSP00000073869,ENSMUSP00000103067,ENSMUST00000074253,ENSMUST00000074253.3,ENSMUST00000107443,ENSMUST00000107443.7,K1C40_MOUSE,K40,Ka36,Keratin 40,Keratin, type I cytoskeletal 40,Keratin-40,Krt40,Krt40-201,Krt40-202,MGI:3629968,NM_001039666,NM_001039666.2,NM_001317213,NM_001317213.1,NP_001034755,NP_001034755.1,NP_001304142,NP_001304142.1,Q3B7Y6,Q6IFX3,R-MMU-1266738,R-MMU-6805567,R-MMU-6809371,Type I hair keratin Ka36,Type I keratin, acidic,UPI00003B326A,UPI00015DEC57,mmu:406221,uc007liy.1
Krt8	10090.ENSMUSP00000023952	Keratin, type II cytoskeletal 8; Together with KRT19, helps to link the contractile apparatus to dystrophin at the costameres of striated muscle; Belongs to the intermediate filament family.	https://smart.embl.de/smart/DDvec.cgi?smart=490:Pfam_Keratin_2_head(1|93)+Filament(96|407)+	16691,AA960620,AAA37548.1,AAA37550.1,AAA37551.1,AAH94009.1,AAI06155.1,AK077597,AK145546,AK145679,AK145777,AK146948,AK147044,AK166737,AK166768,AK166854,AK166960,AK166993,AK167120,AK167269,AK167471,AK168522,AK168540,AK168561,AK168726,AK168910,AK169136,AK169691,AL022697,AU019895,BAA14375.1,BAC36888.1,BAE26499.1,BAE26585.1,BAE26646.1,BAE27557.1,BAE27630.1,BAE38980.1,BAE39006.1,BAE39072.1,BAE39143.1,BAE39172.1,BAE39268.1,BAE39382.1,BAE39554.1,BAE40401.1,BAE40418.1,BAE40434.1,BAE40567.1,BAE40723.1,BAE40915.1,BAE41308.1,BC094009,BC106154,CAA31278.1,CAA33697.1,CCDS27868.1,CK-8,Card2,Cytokeratin endo A,Cytokeratin-8,D90360,ENSMUSG00000049382,ENSMUSP00000023952,ENSMUST00000023952,ENSMUST00000023952.9,EndoA,K2C8_MOUSE,K8,Keratin 8,Keratin, type II cytoskeletal 8,Keratin-8,Krt-2.8,Krt2-8,Krt8,Krt8-201,M21836,M22831,MGI:96705,NM_031170,NM_031170.2,NP_112447,NP_112447.2,P11679,Q3KQK5,Q3TGI1,Q3TJE1,Q3TKY7,Q61463,Q61518,Q61519,R-MMU-1266738,R-MMU-6805567,R-MMU-6809371,Type II keratin, basic,Type-II keratin Kb8,UPI00000220F8,X12789,X15662,cytokeratin 8,cytokeratin-8,cytokeratin8,mmu:16691,uc007xui.1
Lamp2	10090.ENSMUSP00000074448	Lysosome-associated membrane glycoprotein 2; Plays an important role in chaperone-mediated autophagy, a process that mediates lysosomal degradation of proteins in response to various stresses and as part of the normal turnover of proteins with a long biological half-live. Functions by binding target proteins, such as GAPDH and MLLT11, and targeting them for lysosomal degradation (By similarity). Required for the fusion of autophagosomes with lysosomes during autophagy. Cells that lack LAMP2 express normal levels of VAMP8, but fail to accumulate STX17 on autophagosomes, which is the mos [...] 	https://smart.embl.de/smart/DDvec.cgi?smart=416:SIGNAL(1|25)+Pfam_Lamp(106|416)+	16784,5GV3,A2A430,AAA39412.1,AAA39429.1,AAA39430.1,AAI38719.1,AAI38724.1,AK032974,AK078193,AK159272,AK163933,AL513356,BAC28106.1,BAC37169.1,BAE34951.1,BAE37543.1,BC138718,BC138723,CCDS30092.1,CCDS30093.1,CCDS72369.1,CD107 antigen-like family member B,CD107b,CH466570,EDL29015.1,EDL29016.1,EDL29018.1,ENSMUSG00000016534,ENSMUSP00000016678,ENSMUSP00000052283,ENSMUSP00000074448,ENSMUST00000016678,ENSMUST00000016678.13,ENSMUST00000061755,ENSMUST00000061755.8,ENSMUST00000074913,ENSMUST00000074913.11,ENSMUST00000136817,ENSMUST00000136817.1,ENSMUST00000144663,ENSMUST00000144663.1,J05287,LAMP-2,LAMP2_MOUSE,LGP-B,Lamp-2,Lamp-2a,Lamp-2b,Lamp-2c,Lamp2,Lamp2-201,Lamp2-202,Lamp2-203,Lamp2-204,Lamp2-205,Lysosomal membrane glycoprotein type B,Lysosomal-associated membrane protein 2,Lysosome-associated membrane glycoprotein 2,Lysosome-associated membrane protein 2,M32017,M32018,MGI:96748,Mac3,NM_001017959,NM_001017959.2,NM_001290485,NM_001290485.1,NM_010685,NM_010685.4,NP_001017959,NP_001017959.1,NP_001277414,NP_001277414.1,NP_034815,NP_034815.2,P17047,Q3TXG5,Q8BSG8,Q8C5K0,R-MMU-109582,R-MMU-114608,R-MMU-168249,R-MMU-168256,R-MMU-6798695,R-MMU-76002,R-MMU-76005,R-MMU-9612973,R-MMU-9613829,UPI00000E9C62,UPI00000EACC8,UPI000047BE48,XR_001782739,XR_001782739.1,uc009szw.2,uc009szx.2
