#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Jup	Myo9b	10090.ENSMUSP00000001592	10090.ENSMUSP00000129220	0	0	0	0	0	0.048	0.400	0	0.404
Jup	Krt8	10090.ENSMUSP00000001592	10090.ENSMUSP00000023952	0	0	0	0	0.132	0.081	0	0.343	0.430
Jup	Hsp90ab1	10090.ENSMUSP00000001592	10090.ENSMUSP00000024739	0	0	0	0	0.079	0.097	0	0.432	0.486
Krt15	Krt4	10090.ENSMUSP00000103034	10090.ENSMUSP00000023797	0	0	0.086	0.785	0.306	0.058	0	0.156	0.428
Krt15	Krt40	10090.ENSMUSP00000103034	10090.ENSMUSP00000073869	0	0	0	0.899	0	0	0.400	0.054	0.408
Krt4	Krt15	10090.ENSMUSP00000023797	10090.ENSMUSP00000103034	0	0	0.086	0.785	0.306	0.058	0	0.156	0.428
Krt4	Krt8	10090.ENSMUSP00000023797	10090.ENSMUSP00000023952	0	0	0.051	0.943	0.061	0.101	0.400	0.069	0.471
Krt40	Krt15	10090.ENSMUSP00000073869	10090.ENSMUSP00000103034	0	0	0	0.899	0	0	0.400	0.054	0.408
Krt8	Jup	10090.ENSMUSP00000023952	10090.ENSMUSP00000001592	0	0	0	0	0.132	0.081	0	0.343	0.430
Krt8	Hspa8	10090.ENSMUSP00000023952	10090.ENSMUSP00000015800	0	0	0	0	0.044	0.284	0	0.515	0.639
Krt8	Krt4	10090.ENSMUSP00000023952	10090.ENSMUSP00000023797	0	0	0.051	0.943	0.061	0.101	0.400	0.069	0.471
Krt8	Hsp90ab1	10090.ENSMUSP00000023952	10090.ENSMUSP00000024739	0	0	0	0	0.047	0.233	0	0.283	0.430
Lamp2	Hspa8	10090.ENSMUSP00000074448	10090.ENSMUSP00000015800	0	0	0	0	0.076	0.351	0	0.997	0.998
Lamp2	Hsp90ab1	10090.ENSMUSP00000074448	10090.ENSMUSP00000024739	0	0	0	0	0.046	0	0	0.985	0.985
Lamp2	Gfap	10090.ENSMUSP00000074448	10090.ENSMUSP00000064691	0	0	0	0	0.075	0	0	0.621	0.634
Lamp2	Ctsl	10090.ENSMUSP00000074448	10090.ENSMUSP00000152169	0	0	0	0	0.159	0	0	0.722	0.757
Lamp2	Ctsd	10090.ENSMUSP00000074448	10090.ENSMUSP00000121203	0	0	0	0	0.115	0.392	0	0.846	0.910
Lcn2	Gfap	10090.ENSMUSP00000053962	10090.ENSMUSP00000064691	0	0	0	0	0.071	0	0	0.473	0.490
Lcn2	Chil1	10090.ENSMUSP00000053962	10090.ENSMUSP00000080717	0	0	0	0	0.339	0	0	0.613	0.733
Myo9b	Jup	10090.ENSMUSP00000129220	10090.ENSMUSP00000001592	0	0	0	0	0	0.048	0.400	0	0.404
Myo9b	Gfap	10090.ENSMUSP00000129220	10090.ENSMUSP00000064691	0	0	0	0	0	0.065	0	0.443	0.457
Ppib	Hsp90ab1	10090.ENSMUSP00000034947	10090.ENSMUSP00000024739	0	0	0	0	0.160	0.140	0	0.342	0.484
Pzp	Chil1	10090.ENSMUSP00000107760	10090.ENSMUSP00000080717	0	0	0	0	0.068	0	0	0.501	0.515
Serpinb6d	Cstdc5	10090.ENSMUSP00000063025	10090.ENSMUSP00000093794	0	0	0	0	0.049	0	0.720	0	0.722
