#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:30508719	(2018) Spatial Analysis of Single Fiber Cells of the Developing Ocular Lens Reveals Regulated Heterogeneity of Gene Expression.	9	10	1.09	0.64	0.0117	10090.ENSMUSP00000019192,10090.ENSMUSP00000027090,10090.ENSMUSP00000031286,10090.ENSMUSP00000074448,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crygb,Crybb1,Lamp2,Cryba1,Crybb2,Cryba4,Crybb3,Cryab
PMID:19643015	(2009) Differential response of C57BL6J mouse and DBA2J mouse to optic nerve crush.	9	12	1.01	0.6	0.0125	10090.ENSMUSP00000019192,10090.ENSMUSP00000027090,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crygb,Crybb1,Cryba1,Crybb2,Cryba4,Crygc,Crybb3,Cryab
PMID:19649175	(2009) Mutation analysis of congenital cataract in a Basotho family identified a new missense allele in CRYBB2.	8	9	1.09	0.63	0.0125	10090.ENSMUSP00000019192,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crybb1,Cryba1,Crybb2,Cryba4,Crygc,Crybb3,Cryab
PMID:18587493	(2008) A mutation in GJA8 (p.P88Q) is associated with balloon-like cataract with Y-sutural opacities in a family of Indian origin.	8	8	1.14	0.64	0.0125	10090.ENSMUSP00000019192,10090.ENSMUSP00000027090,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crygb,Crybb1,Cryba1,Crybb2,Crygc,Crybb3,Cryab
PMID:33923544	(2021) Molecular and Genetic Mechanism of Non-Syndromic Congenital Cataracts. Mutation Screening in Spanish Families.	8	10	1.04	0.6	0.0141	10090.ENSMUSP00000019192,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crybb1,Cryba1,Crybb2,Cryba4,Crygc,Crybb3,Cryab
PMID:21042563	(2010) Cat-Map: putting cataract on the map.	8	10	1.04	0.6	0.0141	10090.ENSMUSP00000019192,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crybb1,Cryba1,Crybb2,Cryba4,Crygc,Crybb3,Cryab
PMID:30417254	(2018) RNA sequencing-based transcriptomic profiles of embryonic lens development for cataract gene discovery.	9	15	0.92	0.55	0.0144	10090.ENSMUSP00000019192,10090.ENSMUSP00000027090,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crygb,Crybb1,Cryba1,Crybb2,Cryba4,Crygc,Crybb3,Cryab
PMID:37189439	(2023) Multiomics Analysis Reveals Novel Genetic Determinants for Lens Differentiation, Structure, and Transparency.	7	7	1.14	0.59	0.0194	10090.ENSMUSP00000019192,10090.ENSMUSP00000027090,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000112618	Cryaa,Crygb,Crybb1,Cryba1,Crybb2,Cryba4,Crybb3
PMID:38002961	(2023) Three Blind Moles: Molecular Evolutionary Insights on the Tempo and Mode of Convergent Eye Degeneration in Notoryctes typhlops (Southern Marsupial Mole) and Two Chrysochlorids (Golden Moles).	7	7	1.14	0.59	0.0194	10090.ENSMUSP00000019192,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crybb1,Cryba1,Crybb2,Cryba4,Crybb3,Cryab
PMID:35749127	(2022) Sonic Hedgehog Intron Variant Associated With an Unusual Pediatric Cortical Cataract.	8	11	1.0	0.55	0.0194	10090.ENSMUSP00000019192,10090.ENSMUSP00000027090,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crygb,Crybb1,Cryba1,Crybb2,Cryba4,Crybb3,Cryab
PMID:36161833	(2022) Pathogenic genetic variants identified in Australian families with paediatric cataract.	8	11	1.0	0.55	0.0194	10090.ENSMUSP00000019192,10090.ENSMUSP00000027090,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618	Cryaa,Crygb,Crybb1,Cryba1,Crybb2,Cryba4,Crygc,Crybb3
PMID:33894228	(2021) Crystallin gene expression: Insights from studies of transcriptional bursting.	8	11	1.0	0.55	0.0194	10090.ENSMUSP00000019192,10090.ENSMUSP00000027090,10090.ENSMUSP00000031286,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crygb,Crybb1,Crybb2,Cryba4,Crygc,Crybb3,Cryab
PMID:34118792	(2021) Physiological and pathological functions of betaB2-crystallins in multiple organs: a systematic review.	7	8	1.08	0.58	0.0194	10090.ENSMUSP00000019192,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crybb1,Cryba1,Crybb2,Cryba4,Crybb3,Cryab
PMID:30187164	(2019) Genetic landscape of isolated pediatric cataracts: extreme heterogeneity and variable inheritance patterns within genes.	8	11	1.0	0.55	0.0194	10090.ENSMUSP00000019192,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crybb1,Cryba1,Crybb2,Cryba4,Crygc,Crybb3,Cryab
PMID:29872263	(2018) The anti-cataract molecular mechanism study in selenium cataract rats for baicalin ophthalmic nanoparticles.	8	12	0.96	0.54	0.0194	10090.ENSMUSP00000027090,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Crygb,Crybb1,Cryba1,Crybb2,Cryba4,Crygc,Crybb3,Cryab
PMID:28525556	(2017) Transcriptome of the GSH-Depleted Lens Reveals Changes in Detoxification and EMT Signaling Genes, Transport Systems, and Lipid Homeostasis.	9	16	0.89	0.51	0.0194	10090.ENSMUSP00000019192,10090.ENSMUSP00000027090,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crygb,Crybb1,Cryba1,Crybb2,Cryba4,Crygc,Crybb3,Cryab
PMID:26851658	(2016) Human betaA3A1-crystallin splicing mutation causes cataracts by activating the unfolded protein response and inducing apoptosis in differentiating lens fiber cells.	8	12	0.96	0.54	0.0194	10090.ENSMUSP00000019192,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crybb1,Cryba1,Crybb2,Cryba4,Crygc,Crybb3,Cryab
PMID:27513760	(2016) A gammaA-Crystallin Mouse Mutant Secc with Small Eye, Cataract and Closed Eyelid.	7	8	1.08	0.58	0.0194	10090.ENSMUSP00000019192,10090.ENSMUSP00000027090,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000109698,10090.ENSMUSP00000149803	Cryaa,Crygb,Crybb1,Cryba1,Crybb2,Crygc,Cryab
PMID:23404175	(2013) A mutation in the start codon of gamma-crystallin D leads to nuclear cataracts in the Dahl SSJr-Ctr strain.	8	11	1.0	0.55	0.0194	10090.ENSMUSP00000019192,10090.ENSMUSP00000027090,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crygb,Crybb1,Cryba1,Crybb2,Cryba4,Crybb3,Cryab
PMID:23709342	(2013) Crystallins in retinal ganglion cell survival and regeneration.	7	8	1.08	0.58	0.0194	10090.ENSMUSP00000019192,10090.ENSMUSP00000027090,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000108004,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crygb,Crybb1,Cryba1,Cryba4,Crybb3,Cryab
PMID:23978599	(2013) A crystallin gene network in the mouse retina.	8	11	1.0	0.55	0.0194	10090.ENSMUSP00000019192,10090.ENSMUSP00000027090,10090.ENSMUSP00000031286,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crygb,Crybb1,Crybb2,Cryba4,Crygc,Crybb3,Cryab
PMID:22605924	(2012) Transcriptome analysis using next generation sequencing reveals molecular signatures of diabetic retinopathy and efficacy of candidate drugs.	8	11	1.0	0.55	0.0194	10090.ENSMUSP00000019192,10090.ENSMUSP00000031286,10090.ENSMUSP00000074783,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000149803	Cryaa,Crybb1,Ttr,Cryba1,Crybb2,Cryba4,Crygc,Cryab
PMID:21527994	(2011) A novel mutation in gammaD-crystallin associated with autosomal dominant congenital cataract in a Chinese family.	7	7	1.14	0.59	0.0194	10090.ENSMUSP00000019192,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crybb1,Cryba1,Crybb2,Cryba4,Crybb3,Cryab
PMID:21647269	(2011) A novel mutation in the connexin 46 (GJA3) gene associated with congenital cataract in a Chinese pedigree.	7	7	1.14	0.59	0.0194	10090.ENSMUSP00000019192,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crybb1,Cryba1,Crybb2,Cryba4,Crybb3,Cryab
PMID:21897748	(2011) A recurrent missense mutation in GJA3 associated with autosomal dominant cataract linked to chromosome 13q.	7	7	1.14	0.59	0.0194	10090.ENSMUSP00000019192,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crybb1,Cryba1,Crybb2,Cryba4,Crybb3,Cryab
PMID:21031021	(2010) Molecular analysis of cataract families in India: new mutations in the CRYBB2 and GJA3 genes and rare polymorphisms.	7	7	1.14	0.59	0.0194	10090.ENSMUSP00000019192,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crybb1,Cryba1,Crybb2,Cryba4,Crybb3,Cryab
PMID:19461930	(2009) Initiation codon mutation in betaB1-crystallin (CRYBB1) associated with autosomal recessive nuclear pulverulent cataract.	7	8	1.08	0.58	0.0194	10090.ENSMUSP00000019192,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crybb1,Cryba1,Crybb2,Cryba4,Crybb3,Cryab
PMID:19597569	(2009) A novel mutation in CRYAB associated with autosomal dominant congenital nuclear cataract in a Chinese family.	7	7	1.14	0.59	0.0194	10090.ENSMUSP00000019192,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crybb1,Cryba1,Crybb2,Crygc,Crybb3,Cryab
PMID:18587492	(2008) Crystallin gene mutations in Indian families with inherited pediatric cataract.	7	8	1.08	0.58	0.0194	10090.ENSMUSP00000019192,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crybb1,Cryba1,Cryba4,Crygc,Crybb3,Cryab
PMID:17327827	(2007) Transfer of lens-specific transcripts to retinal RNA samples may underlie observed changes in crystallin-gene transcript levels after ischemia.	8	13	0.93	0.52	0.0215	10090.ENSMUSP00000019192,10090.ENSMUSP00000027090,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crygb,Crybb1,Cryba1,Crybb2,Cryba4,Crybb3,Cryab
PMID:33833231	(2021) Aberrant TGF-beta1 signaling activation by MAF underlies pathological lens growth in high myopia.	7	9	1.03	0.52	0.0279	10090.ENSMUSP00000027090,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618	Crygb,Crybb1,Cryba1,Crybb2,Cryba4,Crygc,Crybb3
PMID:33243271	(2020) The genetic landscape of crystallins in congenital cataract.	7	9	1.03	0.52	0.0279	10090.ENSMUSP00000019192,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Cryba1,Crybb2,Cryba4,Crygc,Crybb3,Cryab
PMID:24835736	(2014) The betagamma-crystallins: native state stability and pathways to aggregation.	7	9	1.03	0.52	0.0279	10090.ENSMUSP00000019192,10090.ENSMUSP00000027090,10090.ENSMUSP00000031286,10090.ENSMUSP00000072652,10090.ENSMUSP00000074783,10090.ENSMUSP00000107955,10090.ENSMUSP00000109698	Cryaa,Crygb,Crybb1,Serpina1a,Ttr,Crybb2,Crygc
PMID:21769484	(2012) The cell adhesion gene PVRL3 is associated with congenital ocular defects.	7	9	1.03	0.52	0.0279	10090.ENSMUSP00000019192,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crybb1,Cryba1,Crybb2,Cryba4,Crybb3,Cryab
PMID:37103007	(2023) Endoplasmic Reticulum Stress and the Lysosomal Pathway Play Crucial Roles in the Progression of betaB2-Crystallin Mutation-Induced Congenital Cataracts in Mice.	8	14	0.9	0.48	0.0288	10090.ENSMUSP00000019192,10090.ENSMUSP00000027090,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000149803	Cryaa,Crygb,Crybb1,Cryba1,Crybb2,Cryba4,Crygc,Cryab
PMID:31797049	(2020) MSMS in silico subtraction-based proteomic profiling as an approach to facilitate disease gene discovery: application to lens development and cataract.	8	14	0.9	0.48	0.0288	10090.ENSMUSP00000019192,10090.ENSMUSP00000027090,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crygb,Crybb1,Cryba1,Crybb2,Crygc,Crybb3,Cryab
PMID:28452939	(2017) A Review: Proteomics in Retinal Artery Occlusion, Retinal Vein Occlusion, Diabetic Retinopathy and Acquired Macular Disorders.	9	20	0.79	0.43	0.0323	10090.ENSMUSP00000019192,10090.ENSMUSP00000024988,10090.ENSMUSP00000027090,10090.ENSMUSP00000031286,10090.ENSMUSP00000035158,10090.ENSMUSP00000074783,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000112618	Cryaa,C3,Crygb,Crybb1,Trf,Ttr,Crybb2,Cryba4,Crybb3
PMID:31243103	(2019) Transcriptional profiling of single fiber cells in a transgenic paradigm of an inherited childhood cataract reveals absence of molecular heterogeneity.	7	10	0.98	0.47	0.0388	10090.ENSMUSP00000019192,10090.ENSMUSP00000027090,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000108004,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crygb,Crybb1,Cryba1,Cryba4,Crybb3,Cryab
PMID:25530357	(2015) Molecular characterization of mouse lens epithelial cell lines and their suitability to study RNA granules and cataract associated genes.	7	10	0.98	0.47	0.0388	10090.ENSMUSP00000019192,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crybb1,Cryba1,Crybb2,Cryba4,Crybb3,Cryab
PMID:24760011	(2014) In vivo substrates of the lens molecular chaperones alphaA-crystallin and alphaB-crystallin.	8	15	0.87	0.44	0.0388	10090.ENSMUSP00000019192,10090.ENSMUSP00000027090,10090.ENSMUSP00000031286,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crygb,Crybb1,Crybb2,Cryba4,Crygc,Crybb3,Cryab
PMID:37225720	(2023) Combination of Lactobacillus fermentum NS9 and aronia anthocyanidin extract alleviates sodium iodate-induced retina degeneration.	6	6	1.14	0.5	0.0394	10090.ENSMUSP00000019192,10090.ENSMUSP00000031286,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crybb1,Crybb2,Cryba4,Crybb3,Cryab
PMID:37337769	(2023) Mutational spectrum in a Chinese cohort with congenital cataracts.	6	6	1.14	0.5	0.0394	10090.ENSMUSP00000019192,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crybb1,Cryba1,Crybb2,Crybb3,Cryab
PMID:35531184	(2022) Association of single nucleotide polymorphism variations in CRYAA and CRYAB genes with congenital cataract in Pakistani population.	6	6	1.14	0.5	0.0394	10090.ENSMUSP00000019192,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000109698,10090.ENSMUSP00000149803	Cryaa,Crybb1,Cryba1,Crybb2,Crygc,Cryab
PMID:33708862	(2021) Elongated axial length and myopia-related fundus changes associated with the Arg130Cys mutation in the LIM2 gene in four Chinese families with congenital cataracts.	6	6	1.14	0.5	0.0394	10090.ENSMUSP00000019192,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000108004,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crybb1,Cryba1,Cryba4,Crybb3,Cryab
PMID:29725372	(2018) Identification of long non-coding RNA and mRNA expression in betaBeta2-crystallin knockout mice.	6	6	1.14	0.5	0.0394	10090.ENSMUSP00000019192,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000109698,10090.ENSMUSP00000149803	Cryaa,Crybb1,Cryba1,Crybb2,Crygc,Cryab
PMID:28781956	(2017) The proteomic profile of a mouse model of proliferative vitreoretinopathy.	9	21	0.77	0.41	0.0394	10090.ENSMUSP00000019192,10090.ENSMUSP00000027090,10090.ENSMUSP00000035158,10090.ENSMUSP00000042095,10090.ENSMUSP00000072652,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000109698,10090.ENSMUSP00000149803	Cryaa,Crygb,Trf,Serpina3k,Serpina1a,Cryba1,Crybb2,Crygc,Cryab
PMID:24379646	(2013) A novel beaded filament structural protein 1 (BFSP1) gene mutation associated with autosomal dominant congenital cataract in a Chinese family.	6	6	1.14	0.5	0.0394	10090.ENSMUSP00000019192,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000149803	Cryaa,Crybb1,Cryba1,Crybb2,Cryba4,Cryab
PMID:22312185	(2012) Identification of a novel CRYBB2 missense mutation causing congenital autosomal dominant cataract.	6	6	1.14	0.5	0.0394	10090.ENSMUSP00000019192,10090.ENSMUSP00000031286,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crybb1,Crybb2,Cryba4,Crybb3,Cryab
PMID:22550389	(2012) A novel p.F206I mutation in Cx46 associated with autosomal dominant congenital cataract.	6	6	1.14	0.5	0.0394	10090.ENSMUSP00000019192,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000109698,10090.ENSMUSP00000149803	Cryaa,Crybb1,Cryba1,Crybb2,Crygc,Cryab
